Sample alias,EPI_ISL_ID,EPI_SET_ID,Lineage group,Sample collection date
hCoV-19/Denmark/DCGC-110794/2021,EPI_ISL_2665421,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110795/2021,EPI_ISL_2665422,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110796/2021,EPI_ISL_2665423,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110797/2021,EPI_ISL_3074214,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110801/2021,EPI_ISL_3074216,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110813/2021,EPI_ISL_2665436,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110823/2021,EPI_ISL_2665443,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110830/2021,EPI_ISL_2665448,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110835/2021,EPI_ISL_2665453,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110837/2021,EPI_ISL_3074217,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110846/2021,EPI_ISL_2665459,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110847/2021,EPI_ISL_2665460,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110862/2021,EPI_ISL_3074219,EPI_SET_230103mu,Alpha,2021-05-31
hCoV-19/Denmark/DCGC-110864/2021,EPI_ISL_2665473,EPI_SET_230103mu,Alpha,2021-06-07
hCoV-19/Denmark/DCGC-110865/2021,EPI_ISL_2665474,EPI_SET_230103mu,Alpha,2021-05-31
